Team,Rank,Conference,D1_Games,Record,AdjOE,AdjDE,Avg_D1_Win_Chance,EFG_Pct,DEFG_Pct,TO_Pct,DTO_Pct,ORB_Pct,DRB_Pct,FTR,DFTR,Two_Pct,DTwo_Pct,Three_Pct,DThree_Pct,Three_Rate,DThree_Rate,ADJ_T,Wins_Above_Bubble
"Houston13 seed, R64",85,CUSA,34,18-16,112.540,103.0178,.735585,48.1197,51.2270,12.41,23.133,30.5244,38.5339,33.9269,39.6219,45.2255,51.7314,35.6105,33.4127,35.498,29.568,71.112,-6.2137
Northwestern,86,B10,34,20-14,114.127,104.5213,.732786,52.148,48.3139,17.330,20.3173,30.8227,34.1237,35.1242,41.7255,50.666,48.8212,35.798,31.758,48.72,38.4323,62.2304,-1.974
South Carolina,87,SEC,31,15-16,106.2122,97.576,.727787,47.3238,49.3177,17.433,23.231,33.1159,37.9331,29.1327,39.2209,47.0201,48.4198,32.0256,34.6193,34.4120,26.215,68.654,-4.0105
Auburn,88,SEC,31,14-17,110.954,101.8155,.727688,51.175,51.8296,19.3116,21.2109,32.5182,32.2150,36.7195,38.3191,52.620,51.1299,32.8225,35.5246,42.715,34.3238,69.138,-7.0152
Virginia,89,ACC,31,15-16,105.8126,97.473,.721689,47.8211,49.0167,16.818,18.6264,30.1257,28.832,30.0320,30.539,45.8242,47.3146,34.9131,35.2224,29.5251,30.596,61.4316,-4.3109
Saint Louis,90,A10,35,22-13,100.1212,92.121,.721690,49.6131,44.010,20.3164,21.1118,26.9322,32.8179,35.5229,33.792,50.666,44.338,32.0256,28.95,36.083,24.25,62.2303,-2.990
Nebraska,91,B12,33,15-18,106.9109,98.589,.719691,50.298,50.0214,19.3116,21.589,29.5278,29.654,37.5168,41.6252,46.0233,46.5120,39.712,37.3300,31.3195,37.2302,62.8293,-5.0118
"Sam Houston St.14 seed, R64",92,Slnd,29,21-8,110.656,101.9158,.718192,53.720,50.2228,18.893,21.0123,33.6139,30.166,38.7129,41.2243,51.930,50.4281,37.640,33.3119,40.132,33.3203,68.751,-2.382
Arizona,93,P10,31,16-15,108.186,99.7110,.717193,50.1103,48.7155,20.1156,18.4272,29.6276,31.5114,44.343,38.3191,48.4144,49.5244,35.893,31.451,32.2172,31.9147,67.585,-3.694
Portland,94,WCC,30,19-11,109.665,101.4149,.711294,53.623,50.8259,20.2159,21.2109,34.1123,31.7121,37.3175,36.9164,48.8128,49.7248,41.34,35.2224,36.083,36.6292,62.9288,-2.586
Pacific,95,BW,35,23-12,105.3138,97.472,.710795,50.1103,46.668,17.948,18.4272,32.6176,28.936,35.6222,37.9180,49.3105,43.727,34.4154,34.9212,35.3100,33.3203,60.1334,-5.6129
Oklahoma,96,B12,31,13-18,111.250,103.0182,.706396,50.1103,52.1310,18.054,17.5314,29.5278,30.578,34.0267,29.828,48.4144,49.1228,35.0125,38.9334,40.526,33.3203,65.1210,-5.2120
Southern Miss,97,CUSA,30,16-14,103.7156,96.362,.700897,44.8315,46.981,19.2109,20.0190,36.844,27.718,40.1109,41.7255,43.5306,47.4152,32.2249,30.729,26.7298,38.2316,60.8328,-5.2121
Illinois St.,98,MVC,33,22-11,106.2121,98.793,.700798,50.1103,48.7155,19.9141,20.7142,34.4108,27.919,40.4102,31.448,50.763,47.2142,32.7230,34.2173,33.2149,37.5308,64.4236,-2.587
Penn St.,99,B10,31,11-20,108.384,100.7133,.697399,49.9120,50.5242,18.576,16.1339,30.1257,25.51,33.2286,29.120,49.0117,48.1188,34.3158,36.3273,37.267,38.3319,62.2305,-8.3179
Stanford,100,P10,32,14-18,106.9110,99.5105,.6963100,49.2147,50.1219,17.948,19.5220,29.7270,30.373,37.2180,36.8157,47.3195,50.2271,35.4113,33.3119,33.1152,31.1117,66.4143,-6.9151

Kent St.,101,MAC,33,23-10,105.7131,98.387,.6955101,48.2191,48.4144,17.640,22.548,32.2187,30.785,39.2121,37.8178,48.4144,48.5203,31.8262,32.169,31.2199,34.1231,66.8125,-2.077
"Ohio14 seed, R32",102,MAC,36,21-15,107.597,100.1118,.6934102,49.4139,46.875,18.159,21.682,31.2218,34.2243,41.186,35.7133,46.4221,47.1135,36.570,30.729,35.693,33.2201,68.752,-7.6163
Morehead St.,103,OVC,33,22-11,105.5132,98.794,.6837103,51.175,49.7200,22.6289,23.521,39.412,26.75,36.5202,45.7298,47.5182,47.1135,38.523,36.2269,34.6111,35.4272,64.4235,-4.7115
Charlotte,104,A10,31,19-12,108.189,101.2145,.6794104,47.4232,47.187,19.1102,17.7305,35.569,32.9186,42.568,32.064,47.8167,47.7170,31.1288,30.729,35.791,36.5290,66.9118,-2.383
IU Indy,105,Sum,34,23-11,108.873,102.0159,.6786105,54.911,49.6195,21.1208,21.1118,32.7170,32.7171,42.864,30.135,54.19,48.0184,38.034,35.1218,27.6289,35.6277,64.7223,-4.3108
Creighton,106,MVC,34,18-16,108.581,101.8154,.6755106,50.1103,47.8116,18.362,17.6308,30.6237,30.682,37.1182,37.0166,49.984,46.3113,33.6195,33.7144,39.934,35.0261,65.6183,-6.2135
UCLA,107,P10,32,14-18,107.596,100.9137,.6748107,52.639,50.9263,21.8252,20.0190,30.4247,32.4162,36.6198,32.771,54.74,49.1228,32.5235,36.3273,34.4120,33.3203,63.8261,-6.6142
Bradley,108,MVC,31,16-15,107.2104,100.7132,.6729108,49.6131,47.499,18.469,18.6264,28.4299,33.2198,37.8160,30.539,47.8167,48.3194,35.6105,30.834,32.0177,41.0340,64.7225,-5.4127
Washington St.,109,P10,30,15-15,108.090,101.7153,.6664109,49.9120,51.2270,20.7186,20.3173,35.569,32.8179,45.528,34.3101,49.0117,50.2271,34.7140,35.3230,30.0235,34.8254,66.0160,-5.6130
Arkansas,110,SEC,32,14-18,106.0124,100.1115,.6595110,50.0114,49.3177,19.098,20.3173,30.7231,34.5257,42.172,35.0121,49.1114,46.1104,34.7140,37.2298,31.1204,32.8187,69.729,-7.9171
Akron,111,MAC,34,23-11,105.7130,100.0112,.6560111,49.3142,47.187,19.9141,20.8133,37.432,33.3203,36.6198,41.5250,48.2152,46.3113,34.2167,32.689,34.1127,28.954,64.9219,-3.8100
Iona,112,MAAC,31,21-10,100.0213,94.740,.6510112,48.8165,45.132,20.3164,24.312,29.7270,32.9186,37.3175,47.3312,45.1259,43.319,36.764,32.689,37.169,31.7135,64.4232,-3.693
George Washington,113,A10,31,16-15,103.7155,98.386,.6506113,47.8211,48.3139,20.5179,21.778,37.236,30.890,39.2121,42.8269,47.2197,45.680,33.0221,35.0217,25.9308,39.5332,67.0114,-6.2136
"New Mexico St.12 seed, R64",114,WAC,33,21-12,111.151,105.5232,.6448114,53.230,51.1267,17.846,18.5267,29.9262,34.2243,38.0155,32.064,51.446,49.8249,37.545,35.7253,38.749,34.6245,70.224,-2.280
Oregon,115,P10,32,16-16,105.7129,100.6128,.6408115,47.9205,51.5285,18.788,21.398,35.474,32.1144,33.4282,39.8221,46.7209,50.4281,33.9182,35.6251,29.2258,37.4307,66.0163,-5.9132
Southern Illinois,116,MVC,29,14-15,106.6114,101.3148,.6407116,51.752,49.7200,20.1156,20.7142,30.1257,28.832,37.4170,45.6297,50.954,49.2232,35.5109,33.8150,34.8105,32.3169,66.1157,-7.5162
Fairfield,117,MAAC,34,23-11,106.3118,101.1143,.6392117,48.3184,48.3139,19.5127,21.875,36.353,34.3250,35.0243,34.3101,47.4190,45.162,33.5199,37.0294,31.0210,31.3125,65.3200,-3.8101
